Model,MSE,MAE,R-squared
Ordinary Least Squares,1817931757.8928049,26565.719134748415,0.7642814056153999
RANSAC Regression,1915924087.001413,27234.305483672983,0.7515754203782379
Decision Tree Regression,2406012223.786062,27221.127299076987,0.6880290929509918
Random Forest Regression,1303346088.5805635,21669.68419960126,0.8310041580697265
Lasso,1817937476.4579725,26565.696930628383,0.7642806641287422
Ridge,1818030157.2372468,26564.416172822544,0.7642686468553093
ElasticNet,2138896961.1669385,28024.32520614874,0.7226640752433062
