Training data,Training samples,Class 0 samples,Class 1 samples,Accuracy,Malignant recall,Benign recall,Macro F1,Confusion matrix
Original,455,170,285,0.9912280701754386,0.9761904761904762,1.0,0.9905276277523889,"[[41, 1], [0, 72]]"
Majority downsampled,340,170,170,0.9824561403508771,0.9761904761904762,0.9861111111111112,0.9811507936507937,"[[41, 1], [1, 71]]"
Minority upsampled,570,285,285,0.9736842105263158,0.9761904761904762,0.9722222222222222,0.9718634306869601,"[[41, 1], [2, 70]]"
